trial,prepare_s,prefix_wall_s,between_phase_metrics_s,parallel71_wall_s,assemble_s,total_observed_wall_s,sum_stages_excluding_monitor_s,server_prefix_prefill_s,server_parallel_prefill_mean_s,server_parallel_ttft_mean_s,server_parallel_queue_mean_s,server_parallel_decode_sum_s
run01,2.8099981136620045e-05,0.6809752999688499,0.0040618000202812254,4.625056000018958,0.0006297999643720686,5.310750999953598,5.306689199933317,0.6307801480006674,0.1571772506197665,0.24799683732046207,8.971408405300217e-06,0.0
run02,2.5900022592395544e-05,0.7097767000086606,0.003962199960369617,4.276363000040874,0.0006423000013455749,4.990770100033842,4.986807900073472,0.6631250330001421,0.14608642871842958,0.2279553581291521,9.84690137864189e-06,0.0
run03,2.8399983420968056e-05,0.6801194000290707,0.004034699988551438,4.424268100003246,0.0006398999830707908,5.10909049998736,5.105055799998809,0.6299451849999969,0.15326892778871362,0.23552843550561178,9.3981972101356e-06,0.0
run04,3.1100003980100155e-05,0.7057843999937177,0.004485300043597817,4.098944999976084,0.0006186999962665141,4.809864500013646,4.805379199970048,0.6583993730000657,0.14540849376051893,0.2167016754687672,9.545155029320059e-06,0.0
run05,2.6600027922540903e-05,0.7038772999658249,0.004008200019598007,4.449582799978089,0.0006550999823957682,5.15814999997383,5.154141799954232,0.654574897999737,0.15471871442241536,0.2369389836217316,9.669662112698883e-06,0.0
run06,2.6600027922540903e-05,0.738280699995812,0.0045332000008784235,4.315001699957065,0.0006510000093840063,5.058493199991062,5.053959999990184,0.6884061979999387,0.15184311139447845,0.2293873773494237,9.272281588469205e-06,0.0
run07,2.989999484270811e-05,0.6784886000095867,0.004290500015486032,4.0834367999923415,0.0006371999625116587,4.766882999974769,4.762592499959283,0.6302104400001554,0.1438992448733265,0.21518521913340394,8.86329564283943e-06,0.0
run08,2.74000340141356e-05,0.7469274000031874,0.004099199955817312,4.649978800036479,0.0007099999929778278,5.401742800022475,5.397643600066658,0.6966741649994219,0.15964028549317422,0.24978422446989676,9.553633595125677e-06,0.0
run09,2.8999987989664078e-05,0.679511199996341,0.0040969999972730875,4.113044600002468,0.0006447000196203589,4.797326500003692,4.793229500006419,0.6317382630004431,0.14290029167578966,0.21766656217440752,8.928084868567169e-06,0.0
run10,2.7300033252686262e-05,0.7469755999627523,0.004246000025887042,4.269899200007785,0.0006569999968633056,5.0218051000265405,5.017559100000653,0.6979961239994736,0.14864304267601408,0.22630664328454245,8.979155020017676e-06,0.0
