trial,prepare_s,prefix_wall_s,between_phase_metrics_s,parallel71_wall_s,assemble_s,total_observed_wall_s,sum_stages_excluding_monitor_s,server_prefix_prefill_s,server_parallel_prefill_mean_s,server_parallel_ttft_mean_s,server_parallel_queue_mean_s,server_parallel_decode_sum_s
run01,3.23000131174922e-05,0.6819295000168495,0.0049294999917037785,2.76952450000681,0.00063109997427091,3.4570469000027515,3.4521174000110477,0.6346836970005825,0.49458258218310475,1.6567052485237659,0.9769370156196268,0.0
run02,2.4900014977902174e-05,0.7058618000010028,0.0049578999751247466,2.742534600023646,0.0006563999922946095,3.454035600007046,3.4490777000319213,0.6540057989986963,0.4943168304218719,1.6272684251758414,0.9237106383382999,0.0
run03,2.6799971237778664e-05,0.718183399992995,0.005029599997214973,2.792216500034556,0.0006368999602273107,3.516093199956231,3.511063599959016,0.6679991500004689,0.4956211269718167,1.6877607963454555,0.9896056195072855,0.0
run04,2.2499996703118086e-05,0.6812499999650754,0.005174799996893853,2.7748315000208095,0.0006350000039674342,3.4619137999834493,3.4567389999865554,0.6318195350013411,0.48291410969009313,1.6419370140827878,0.9146254536196504,0.0
run05,2.870004391297698e-05,0.7533945999457501,0.005370500031858683,2.784488999983296,0.0006682000239379704,3.5439510000287555,3.538580499996897,0.7020296130012866,0.49655669042300027,1.671539995032297,0.9749947365632233,0.0
run06,2.7099973522126675e-05,0.7118356000282802,0.00525219994597137,2.790519900037907,0.0006412999937310815,3.508276099979412,3.5030239000334404,0.6612945230008336,0.4953155454086428,1.6852336332831583,0.981930128774404,0.0
run07,2.7399975806474686e-05,0.6951976999989711,0.005293400026857853,2.759157399996184,0.0006530999671667814,3.460328999964986,3.455035599938128,0.6459682249987964,0.4951007218873022,1.6470811199134505,0.9508355878871799,0.0
run08,2.759997732937336e-05,0.6883344000088982,0.005129400000441819,2.7611813999828883,0.0006461000302806497,3.4553188999998383,3.4501894999993965,0.6389507109997794,0.49711718622516776,1.6473206667832925,0.9449572296336658,0.0
run09,2.670002868399024e-05,0.7067152999807149,0.005033700028434396,2.7756634999532253,0.0006860000430606306,3.488125200034119,3.483091500005685,0.6583163030009018,0.49772047909814127,1.6562106575764401,0.9668482395353377,0.0
run10,2.5800021830946207e-05,0.6994684999808669,0.005187899980228394,2.7627999000251293,0.0006329999887384474,3.468115099996794,3.4629272000165656,0.651229166000121,0.4968813216617773,1.6450094672995554,0.9240946508732929,0.0
